patient_id,t_h,t_norm,beta,y_nn
synth9,767.1,3.19625,0.9,0.9514964457615319
synth9,768.1,3.200416666666667,0.9,0.9515114887447121
synth9,769.1,3.2045833333333333,0.9,0.9515263545092427
synth9,770.1,3.20875,0.9,0.9515410448529206
synth9,771.1,3.2129166666666666,0.9,0.9515555615548745
synth9,772.1,3.2170833333333335,0.9,0.951569906375784
synth9,773.1,3.22125,0.9,0.9515840810580943
synth9,774.1,3.225416666666667,0.9,0.951598087326231
synth9,775.1,3.2295833333333333,0.9,0.9516119268868084
synth9,776.1,3.23375,0.9,0.9516256014288373
synth9,777.1,3.2379166666666666,0.9,0.9516391126239293
synth9,778.1,3.2420833333333334,0.9,0.9516524621264979
synth9,779.1,3.2462500000000003,0.9,0.9516656515739571
synth9,780.1,3.2504166666666667,0.9,0.9516786825869183
synth9,781.1,3.2545833333333336,0.9,0.9516915567693818
synth9,782.1,3.25875,0.9,0.9517042757089295
synth9,783.1,3.262916666666667,0.9,0.9517168409769114
synth9,784.1,3.2670833333333333,0.9,0.9517292541286327
synth9,785.1,3.27125,0.9,0.9517415167035351
synth9,786.1,3.2754166666666666,0.9,0.9517536302253791
synth9,787.1,3.2795833333333335,0.9,0.9517655962024206
synth9,788.1,3.28375,0.9,0.9517774161275881
synth9,789.1,3.287916666666667,0.9,0.9517890914786556
synth9,790.1,3.2920833333333333,0.9,0.9518006237184136
synth9,791.1,3.29625,0.9,0.9518120142948374
synth9,792.1,3.3004166666666666,0.9,0.9518232646412559
synth9,793.1,3.3045833333333334,0.9,0.9518343761765132
synth9,794.1,3.3087500000000003,0.9,0.9518453503051327
synth9,795.1,3.3129166666666667,0.9,0.9518561884174774
synth9,796.1,3.3170833333333336,0.9,0.9518668918899061
synth9,797.1,3.32125,0.9,0.9518774620849315
synth9,798.1,3.325416666666667,0.9,0.9518879003513727
synth9,799.1,3.3295833333333333,0.9,0.9518982080245076
synth9,800.1,3.33375,0.9,0.9519083864262231
synth9,801.1,3.3379166666666666,0.9,0.9519184368651624
synth9,802.1,3.3420833333333335,0.9,0.9519283606368718
synth9,803.1,3.34625,0.9,0.9519381590239443
synth9,804.1,3.350416666666667,0.9,0.9519478332961624
synth9,805.1,3.3545833333333333,0.9,0.951957384710638
synth9,806.1,3.35875,0.9,0.9519668145119519
synth9,807.1,3.3629166666666666,0.9,0.9519761239322901
synth9,808.1,3.3670833333333334,0.9,0.9519853141915792
synth9,809.1,3.3712500000000003,0.9,0.9519943864976195
synth9,810.1,3.3754166666666667,0.9,0.9520033420462173
synth9,811.1,3.3795833333333336,0.9,0.9520121820213144
synth9,812.1,3.38375,0.9,0.9520209075951175
synth9,813.1,3.387916666666667,0.9,0.9520295199282236
synth9,814.1,3.3920833333333333,0.9,0.952038020169746
synth9,815.1,3.39625,0.9,0.9520464094574386
synth9,816.1,3.4004166666666666,0.9,0.9520546889178164
synth9,817.1,3.4045833333333335,0.9,0.9520628596662775
synth9,818.1,3.40875,0.9,0.9520709228072209
synth9,819.1,3.412916666666667,0.9,0.9520788794341654
synth9,820.1,3.4170833333333333,0.9,0.9520867306298646
synth9,821.1,3.42125,0.9,0.9520944774664222
synth9,822.1,3.4254166666666666,0.9,0.9521021210054049
synth9,823.1,3.4295833333333334,0.9,0.9521096622979544
synth9,824.1,3.4337500000000003,0.9,0.9521171023848976
synth9,825.1,3.4379166666666667,0.9,0.9521244422968563
synth9,826.1,3.4420833333333336,0.9,0.9521316830543547
synth9,827.1,3.44625,0.9,0.9521388256679252
synth9,828.1,3.450416666666667,0.9,0.9521458711382146
synth9,829.1,3.4545833333333333,0.9,0.9521528204560872
synth9,830.1,3.45875,0.9,0.9521596746027278
synth9,831.1,3.4629166666666666,0.9,0.952166434549743
synth9,832.1,3.4670833333333335,0.9,0.9521731012592611
synth9,833.1,3.47125,0.9,0.9521796756840313
synth9,834.1,3.475416666666667,0.9,0.9521861587675213
synth9,835.1,3.4795833333333333,0.9,0.952192551444014
synth9,836.1,3.48375,0.9,0.9521988546387026
synth9,837.1,3.4879166666666666,0.9,0.9522050692677853
synth9,838.1,3.4920833333333334,0.9,0.952211196238558
synth9,839.1,3.4962500000000003,0.9,0.9522172364495064
synth9,840.1,3.5004166666666667,0.9,0.9522231907903972
synth9,841.1,3.5045833333333336,0.9,0.9522290601423679
synth9,842.1,3.50875,0.9,0.9522348453780148
synth9,843.1,3.512916666666667,0.9,0.9522405473614823
synth9,844.1,3.5170833333333333,0.9,0.9522461669485481
synth9,845.1,3.52125,0.9,0.9522517049867097
synth9,846.1,3.5254166666666666,0.9,0.9522571623152685
synth9,847.1,3.5295833333333335,0.9,0.9522625397654142
synth9,848.1,3.53375,0.9,0.952267838160307
synth9,849.1,3.537916666666667,0.9,0.9522730583151594
synth9,850.1,3.5420833333333333,0.9,0.9522782010373173
synth9,851.1,3.54625,0.9,0.9522832671263392
synth9,852.1,3.5504166666666666,0.9,0.9522882573740756
synth9,853.1,3.5545833333333334,0.9,0.9522931725647473
synth9,854.1,3.5587500000000003,0.9,0.9522980134750219
synth9,855.1,3.5629166666666667,0.9,0.9523027808740904
synth9,856.1,3.5670833333333336,0.9,0.952307475523742
synth9,857.1,3.57125,0.9,0.9523120981784393
synth9,858.1,3.575416666666667,0.9,0.952316649585392
synth9,859.1,3.5795833333333333,0.9,0.9523211304846286
synth9,860.1,3.58375,0.9,0.9523255416090698
synth9,861.1,3.5879166666666666,0.9,0.9523298836845983
synth9,862.1,3.5920833333333335,0.9,0.9523341574301301
synth9,863.1,3.59625,0.9,0.9523383635576836
synth9,864.1,3.600416666666667,0.9,0.9523425027724484
synth9,865.1,3.6045833333333333,0.9,0.9523465757728535
synth9,866.1,3.60875,0.9,0.9523505832506345
synth9,867.1,3.6129166666666666,0.9,0.9523545258908992
synth9,868.1,3.6170833333333334,0.9,0.9523584043721945
synth9,869.1,3.6212500000000003,0.9,0.9523622193665713
synth9,870.1,3.6254166666666667,0.9,0.9523659715396475
synth9,871.1,3.6295833333333336,0.9,0.9523696615506727
synth9,872.1,3.63375,0.9,0.952373290052591
synth9,873.1,3.637916666666667,0.9,0.9523768576921026
synth9,874.1,3.6420833333333333,0.9,0.9523803651097252
synth9,875.1,3.64625,0.9,0.9523838129398555
synth9,876.1,3.6504166666666666,0.9,0.9523872018108291
synth9,877.1,3.6545833333333335,0.9,0.9523905323449786
synth9,878.1,3.65875,0.9,0.9523938051586945
synth9,879.1,3.662916666666667,0.9,0.9523970208624821
synth9,880.1,3.6670833333333333,0.9,0.9524001800610188
synth9,881.1,3.67125,0.9,0.9524032833532113
synth9,882.1,3.6754166666666666,0.9,0.9524063313322529
